order_id,order_date,warehouse,carrier,dest_province,ship_mode,category,order_value,pickup_date,pickup_days,pickup_on_time,promised_delivery_date,actual_delivery_date,on_time,days_late,accuracy_status,shipping_cost
ORD-000026,2025-11-26,Montreal,Prairie Express,QC,Standard,Health & Personal Care,61.75,2025-11-28,2,True,2025-12-02,2025-12-02,True,0,accurate,9.0
ORD-000027,2025-11-19,Toronto,Maple Freight,ON,Standard,Health & Personal Care,47.33,2025-11-22,3,False,2025-11-25,2025-11-25,True,0,accurate,7.93
ORD-000028,2024-05-28,Toronto,Prairie Express,NB,Priority,Grocery,99.81,2024-05-29,1,True,2024-05-30,2024-05-29,True,0,accurate,24.46
ORD-000029,2024-11-06,Montreal,CanParcel,NL,Standard,Electronics,44.73,2024-11-07,1,True,2024-11-12,2024-11-10,True,0,accurate,15.3
ORD-000030,2025-04-10,Toronto,Prairie Express,ON,Express,Electronics,102.7,2025-04-11,1,True,2025-04-13,2025-04-12,True,0,accurate,22.82
ORD-000031,2024-03-27,Calgary,Prairie Express,SK,Express,Apparel,40.49,2024-03-29,2,True,2024-03-30,2024-03-28,True,0,accurate,28.87
ORD-000032,2024-01-01,Vancouver,Prairie Express,BC,Standard,Home & Kitchen,80.93,2024-01-02,1,True,2024-01-07,2024-01-07,True,0,accurate,10.12
ORD-000033,2025-07-30,Montreal,NorthStar Logistics,QC,Express,Apparel,41.28,2025-08-05,6,False,2025-08-02,2025-08-01,True,0,accurate,19.61
ORD-000034,2024-05-27,Toronto,NorthStar Logistics,ON,Standard,Home & Kitchen,109.54,2024-05-28,1,True,2024-06-02,2024-05-31,True,0,accurate,10.74
ORD-000035,2024-10-10,Calgary,NorthStar Logistics,MB,Standard,Home & Kitchen,43.69,2024-10-11,1,True,2024-10-16,2024-10-16,True,0,accurate,10.24
ORD-000036,2024-11-01,Montreal,Maple Freight,PE,Standard,Grocery,102.18,2024-11-02,1,True,2024-11-07,2024-11-05,True,0,accurate,15.93
ORD-000037,2025-10-18,Toronto,Maple Freight,ON,Priority,Home & Kitchen,37.16,2025-10-22,4,False,2025-10-20,2025-10-19,True,0,accurate,16.2
ORD-000038,2024-12-09,Toronto,Maple Freight,ON,Priority,Health & Personal Care,33.4,2024-12-10,1,True,2024-12-11,2024-12-10,True,0,accurate,16.43
ORD-000039,2025-11-14,Montreal,CanParcel,QC,Standard,Grocery,36.0,2025-11-15,1,True,2025-11-20,2025-11-20,True,0,accurate,10.03
ORD-000040,2024-04-04,Montreal,Prairie Express,NS,Express,Grocery,41.17,2024-04-05,1,True,2024-04-07,2024-04-06,True,0,accurate,33.44
ORD-000041,2024-11-12,Toronto,Maple Freight,SK,Priority,Home & Kitchen,134.65,2024-11-13,1,True,2024-11-14,2024-11-14,True,0,accurate,26.66
ORD-000042,2025-09-13,Montreal,NorthStar Logistics,QC,Standard,Home & Kitchen,86.25,2025-09-15,2,True,2025-09-19,2025-09-18,True,0,accurate,8.23
ORD-000043,2025-09-19,Calgary,NorthStar Logistics,MB,Express,Grocery,16.79,2025-09-20,1,True,2025-09-22,2025-09-20,True,0,accurate,28.15
ORD-000044,2025-06-13,Toronto,CanParcel,ON,Priority,Electronics,118.9,2025-06-13,0,True,2025-06-15,2025-06-15,True,0,accurate,13.97
ORD-000045,2025-10-22,Vancouver,CanParcel,BC,Standard,Grocery,44.74,2025-10-27,5,False,2025-10-28,2025-10-28,True,0,accurate,9.2
ORD-000046,2024-12-24,Vancouver,Prairie Express,AB,Standard,Apparel,105.49,2024-12-25,1,True,2024-12-30,2024-12-28,True,0,accurate,10.72
ORD-000047,2024-07-15,Toronto,CanParcel,ON,Express,Home & Kitchen,133.83,2024-07-16,1,True,2024-07-18,2024-07-16,True,0,accurate,20.52
ORD-000048,2024-01-27,Toronto,Maple Freight,ON,Standard,Electronics,135.59,2024-01-28,1,True,2024-02-02,2024-01-31,True,0,accurate,10.51
ORD-000049,2025-04-12,Toronto,Maple Freight,ON,Express,Home & Kitchen,141.17,2025-04-14,2,True,2025-04-15,2025-04-14,True,0,accurate,24.66
ORD-000050,2025-02-09,Toronto,Maple Freight,PE,Express,Health & Personal Care,85.86,2025-02-10,1,True,2025-02-12,2025-02-11,True,0,accurate,41.43
ORD-000051,2025-04-05,Montreal,CanParcel,QC,Standard,Apparel,56.33,2025-04-08,3,False,2025-04-11,2025-04-10,True,0,accurate,9.41
ORD-000052,2025-12-26,Toronto,CanParcel,ON,Standard,Home & Kitchen,129.24,2025-12-27,1,True,2026-01-01,2026-01-01,True,0,accurate,10.03
ORD-000053,2024-12-28,Montreal,NorthStar Logistics,QC,Standard,Electronics,209.12,2024-12-31,3,False,2025-01-03,2025-01-03,True,0,accurate,9.77
ORD-000054,2024-12-17,Montreal,NorthStar Logistics,NL,Standard,Apparel,54.55,2024-12-18,1,True,2024-12-23,2024-12-22,True,0,accurate,13.98
ORD-000055,2025-05-26,Toronto,Prairie Express,ON,Standard,Electronics,71.53,2025-05-30,4,False,2025-06-01,2025-05-31,True,0,accurate,10.25
ORD-000056,2025-05-31,Montreal,NorthStar Logistics,NB,Priority,Apparel,38.57,2025-06-01,1,True,2025-06-02,2025-06-02,True,0,accurate,23.34
ORD-000057,2025-09-16,Vancouver,Maple Freight,BC,Express,Electronics,92.11,2025-09-18,2,True,2025-09-19,2025-09-18,True,0,accurate,22.19
ORD-000058,2025-05-30,Vancouver,CanParcel,BC,Standard,Apparel,34.43,2025-05-31,1,True,2025-06-05,2025-06-05,True,0,accurate,9.13
ORD-000059,2025-01-27,Montreal,CanParcel,QC,Standard,Grocery,30.83,2025-01-28,1,True,2025-02-02,2025-02-01,True,0,accurate,8.76
ORD-000060,2025-07-14,Toronto,CanParcel,ON,Express,Home & Kitchen,137.78,2025-07-15,1,True,2025-07-17,2025-07-17,True,0,accurate,22.54
ORD-000061,2024-12-02,Calgary,CanParcel,SK,Standard,Grocery,35.49,2024-12-02,0,True,2024-12-08,2024-12-07,True,0,damaged,10.88
ORD-000062,2025-08-12,Vancouver,NorthStar Logistics,BC,Priority,Home & Kitchen,86.64,2025-08-13,1,True,2025-08-14,2025-08-14,True,0,accurate,16.55
ORD-000063,2025-10-22,Toronto,NorthStar Logistics,ON,Standard,Home & Kitchen,55.97,2025-10-23,1,True,2025-10-28,2025-10-28,True,0,accurate,9.45
ORD-000064,2025-11-01,Calgary,CanParcel,AB,Priority,Home & Kitchen,57.97,2025-11-01,0,True,2025-11-03,2025-11-01,True,0,accurate,15.04
ORD-000065,2025-12-22,Montreal,Maple Freight,QC,Standard,Health & Personal Care,30.87,2025-12-25,3,False,2025-12-28,2025-12-27,True,0,accurate,8.39
ORD-000066,2025-03-27,Montreal,NorthStar Logistics,QC,Standard,Apparel,51.7,2025-03-28,1,True,2025-04-02,2025-03-31,True,0,accurate,9.26
ORD-000067,2025-12-13,Toronto,CanParcel,ON,Standard,Apparel,103.95,2025-12-14,1,True,2025-12-19,2025-12-19,True,0,accurate,9.61
ORD-000068,2024-03-07,Calgary,NorthStar Logistics,AB,Standard,Home & Kitchen,74.91,2024-03-08,1,True,2024-03-13,2024-03-12,True,0,damaged,10.52
ORD-000069,2025-10-23,Vancouver,CanParcel,BC,Priority,Electronics,147.57,2025-10-24,1,True,2025-10-25,2025-10-24,True,0,accurate,18.3
ORD-000070,2024-07-24,Toronto,CanParcel,NL,Standard,Apparel,52.68,2024-07-25,1,True,2024-07-30,2024-07-28,True,0,accurate,16.28
ORD-000071,2025-02-20,Toronto,BudgetHaul,ON,Standard,Electronics,157.6,2025-02-22,2,True,2025-02-26,2025-02-25,True,0,accurate,9.79
ORD-000072,2024-09-04,Montreal,NorthStar Logistics,NB,Standard,Grocery,44.75,2024-09-05,1,True,2024-09-10,2024-09-09,True,0,accurate,14.91
ORD-000073,2024-08-09,Toronto,CanParcel,QC,Priority,Health & Personal Care,64.73,2024-08-09,0,True,2024-08-11,2024-08-10,True,0,accurate,16.72
ORD-000074,2024-10-14,Toronto,Maple Freight,ON,Priority,Apparel,299.78,2024-10-15,1,True,2024-10-16,2024-10-14,True,0,accurate,17.2
ORD-000075,2025-11-03,Calgary,Maple Freight,AB,Express,Home & Kitchen,49.74,2025-11-04,1,True,2025-11-06,2025-11-04,True,0,accurate,23.04
ORD-000076,2024-02-18,Montreal,Prairie Express,QC,Express,Home & Kitchen,121.52,2024-02-20,2,True,2024-02-21,2024-02-20,True,0,accurate,21.19
ORD-000077,2024-07-21,Toronto,Prairie Express,ON,Standard,Apparel,99.16,2024-07-22,1,True,2024-07-27,2024-07-29,False,2,accurate,10.0
ORD-000078,2024-11-08,Toronto,Maple Freight,ON,Standard,Electronics,128.74,2024-11-09,1,True,2024-11-14,2024-11-17,False,3,accurate,10.12
ORD-000079,2024-08-12,Montreal,NorthStar Logistics,NL,Standard,Home & Kitchen,110.05,2024-08-15,3,False,2024-08-18,2024-08-18,True,0,accurate,16.16
ORD-000080,2025-10-04,Calgary,BudgetHaul,AB,Priority,Home & Kitchen,36.87,2025-10-07,3,False,2025-10-06,2025-10-04,True,0,accurate,14.58
ORD-000081,2025-03-19,Montreal,Maple Freight,NL,Standard,Grocery,44.75,2025-03-20,1,True,2025-03-25,2025-03-24,True,0,accurate,14.84
ORD-000082,2025-03-02,Calgary,NorthStar Logistics,MB,Standard,Apparel,119.82,2025-03-03,1,True,2025-03-08,2025-03-08,True,0,accurate,12.56
ORD-000083,2025-06-05,Vancouver,Maple Freight,BC,Standard,Apparel,84.48,2025-06-06,1,True,2025-06-11,2025-06-09,True,0,accurate,8.17
ORD-000084,2025-11-10,Toronto,NorthStar Logistics,ON,Standard,Grocery,33.69,2025-11-11,1,True,2025-11-16,2025-11-14,True,0,accurate,9.05
ORD-000085,2024-05-20,Montreal,Maple Freight,QC,Standard,Home & Kitchen,45.34,2024-05-21,1,True,2024-05-26,2024-05-28,False,2,accurate,9.18
ORD-000086,2024-05-07,Toronto,Prairie Express,ON,Standard,Electronics,179.92,2024-05-11,4,False,2024-05-13,2024-05-12,True,0,accurate,10.26
ORD-000087,2024-12-29,Toronto,Prairie Express,ON,Standard,Home & Kitchen,91.09,2024-12-31,2,True,2025-01-04,2025-01-02,True,0,accurate,8.48
ORD-000088,2025-04-23,Toronto,CanParcel,QC,Express,Apparel,69.24,2025-04-24,1,True,2025-04-26,2025-04-24,True,0,accurate,30.34
ORD-000089,2025-09-25,Toronto,NorthStar Logistics,ON,Standard,Electronics,295.06,2025-09-26,1,True,2025-10-01,2025-09-29,True,0,accurate,11.73
ORD-000090,2025-10-25,Montreal,BudgetHaul,NL,Priority,Grocery,38.57,2025-10-28,3,False,2025-10-27,2025-10-27,True,0,damaged,28.25
ORD-000091,2024-12-13,Toronto,BudgetHaul,ON,Express,Home & Kitchen,40.11,2024-12-16,3,False,2024-12-16,2024-12-15,True,0,accurate,23.11
ORD-000092,2025-10-16,Toronto,CanParcel,ON,Standard,Home & Kitchen,145.37,2025-10-17,1,True,2025-10-22,2025-10-22,True,0,accurate,8.72
ORD-000093,2024-09-02,Vancouver,BudgetHaul,BC,Standard,Grocery,61.51,2024-09-06,4,False,2024-09-08,2024-09-08,True,0,accurate,9.95
ORD-000094,2024-11-02,Toronto,NorthStar Logistics,ON,Standard,Grocery,83.88,2024-11-06,4,False,2024-11-08,2024-11-08,True,0,accurate,10.09
ORD-000095,2024-01-15,Vancouver,CanParcel,BC,Standard,Grocery,146.91,2024-01-16,1,True,2024-01-21,2024-01-21,True,0,accurate,9.91
ORD-000096,2024-07-20,Calgary,Maple Freight,MB,Priority,Electronics,85.59,2024-07-21,1,True,2024-07-22,2024-07-22,True,0,accurate,19.45
ORD-000097,2024-08-21,Toronto,CanParcel,ON,Express,Apparel,21.36,2024-08-22,1,True,2024-08-24,2024-08-24,True,0,accurate,22.5
ORD-000098,2024-09-24,Toronto,NorthStar Logistics,ON,Express,Health & Personal Care,36.03,2024-09-25,1,True,2024-09-27,2024-09-26,True,0,accurate,18.97
ORD-000099,2025-06-30,Toronto,Prairie Express,NL,Express,Electronics,294.17,2025-07-03,3,False,2025-07-03,2025-07-03,True,0,accurate,37.77
ORD-000100,2024-01-27,Toronto,NorthStar Logistics,SK,Standard,Health & Personal Care,38.07,2024-01-28,1,True,2024-02-02,2024-02-01,True,0,accurate,15.45
ORD-000101,2024-08-26,Toronto,CanParcel,ON,Standard,Health & Personal Care,75.47,2024-08-28,2,True,2024-09-01,2024-08-31,True,0,accurate,9.7
ORD-000102,2025-08-13,Montreal,NorthStar Logistics,QC,Standard,Health & Personal Care,28.56,2025-08-14,1,True,2025-08-19,2025-08-18,True,0,accurate,9.79
ORD-000103,2024-02-07,Toronto,CanParcel,ON,Standard,Grocery,42.49,2024-02-07,0,True,2024-02-13,2024-02-27,False,14,substitution,7.87
ORD-000104,2025-10-31,Calgary,Maple Freight,SK,Standard,Electronics,272.72,2025-11-02,2,True,2025-11-06,2025-11-06,True,0,accurate,14.24
ORD-000105,2025-12-29,Toronto,Prairie Express,ON,Standard,Electronics,117.31,2025-12-30,1,True,2026-01-04,2026-01-04,True,0,accurate,8.54
ORD-000106,2024-10-26,Calgary,NorthStar Logistics,SK,Standard,Grocery,35.69,2024-10-28,2,True,2024-11-01,2024-11-05,False,4,accurate,10.93
ORD-000107,2024-01-28,Toronto,CanParcel,ON,Standard,Electronics,101.71,2024-01-29,1,True,2024-02-03,2024-02-01,True,0,accurate,8.51
ORD-000108,2024-06-27,Toronto,Maple Freight,ON,Standard,Apparel,146.02,2024-06-28,1,True,2024-07-03,2024-07-03,True,0,accurate,11.01
ORD-000109,2025-12-05,Toronto,CanParcel,ON,Standard,Home & Kitchen,90.77,2025-12-08,3,False,2025-12-11,2025-12-11,True,0,accurate,8.76
ORD-000110,2024-09-07,Vancouver,BudgetHaul,BC,Standard,Home & Kitchen,124.68,2024-09-17,10,False,2024-09-13,2024-09-11,True,0,accurate,10.84
ORD-000111,2025-12-16,Montreal,CanParcel,NS,Express,Electronics,81.42,2025-12-17,1,True,2025-12-19,2025-12-19,True,0,accurate,40.08
ORD-000112,2025-05-11,Toronto,CanParcel,ON,Express,Home & Kitchen,44.96,2025-05-11,0,True,2025-05-14,2025-05-12,True,0,accurate,19.07
ORD-000113,2025-09-22,Toronto,Prairie Express,ON,Standard,Grocery,42.59,2025-09-24,2,True,2025-09-28,2025-09-28,True,0,accurate,9.65
ORD-000114,2024-09-23,Vancouver,CanParcel,BC,Express,Electronics,131.64,2024-09-23,0,True,2024-09-26,2024-09-24,True,0,accurate,22.63
ORD-000115,2025-06-24,Toronto,CanParcel,ON,Standard,Electronics,154.74,2025-06-26,2,True,2025-06-30,2025-06-28,True,0,accurate,9.35
ORD-000116,2024-07-24,Montreal,Maple Freight,QC,Priority,Electronics,102.95,2024-07-28,4,False,2024-07-26,2024-07-24,True,0,accurate,15.19
ORD-000117,2025-12-10,Montreal,NorthStar Logistics,QC,Standard,Home & Kitchen,44.17,2025-12-11,1,True,2025-12-16,2025-12-15,True,0,accurate,10.02
ORD-000118,2025-07-02,Montreal,Prairie Express,QC,Standard,Health & Personal Care,44.92,2025-07-04,2,True,2025-07-08,2025-07-06,True,0,accurate,8.32
ORD-000119,2025-01-17,Calgary,BudgetHaul,AB,Standard,Electronics,152.91,2025-01-20,3,False,2025-01-23,2025-01-23,True,0,accurate,10.0
ORD-000120,2025-05-31,Toronto,NorthStar Logistics,ON,Express,Electronics,82.97,2025-06-06,6,False,2025-06-03,2025-06-03,True,0,accurate,21.54
ORD-000121,2025-12-02,Montreal,Prairie Express,QC,Express,Apparel,75.43,2025-12-03,1,True,2025-12-05,2025-12-04,True,0,accurate,19.27
ORD-000122,2024-09-11,Montreal,CanParcel,QC,Standard,Health & Personal Care,34.16,2024-09-13,2,True,2024-09-17,2024-09-16,True,0,accurate,7.89
ORD-000123,2024-05-11,Toronto,Maple Freight,QC,Priority,Apparel,80.39,2024-05-12,1,True,2024-05-13,2024-05-11,True,0,accurate,19.81
ORD-000124,2025-12-27,Calgary,CanParcel,AB,Standard,Electronics,313.93,2025-12-28,1,True,2026-01-02,2026-01-05,False,3,accurate,11.62
ORD-000125,2025-11-17,Toronto,BudgetHaul,ON,Standard,Grocery,29.1,2025-11-21,4,False,2025-11-23,2025-11-23,True,0,accurate,9.57
ORD-000126,2024-11-27,Toronto,NorthStar Logistics,ON,Standard,Health & Personal Care,61.63,2024-11-28,1,True,2024-12-03,2024-12-01,True,0,accurate,9.15
ORD-000127,2024-01-22,Toronto,CanParcel,ON,Priority,Grocery,115.9,2024-01-24,2,True,2024-01-24,2024-01-22,True,0,accurate,17.19
ORD-000128,2025-03-18,Vancouver,Maple Freight,BC,Standard,Grocery,68.53,2025-03-22,4,False,2025-03-24,2025-03-23,True,0,accurate,9.62
ORD-000129,2024-04-29,Toronto,CanParcel,ON,Standard,Home & Kitchen,50.78,2024-04-30,1,True,2024-05-05,2024-05-03,True,0,accurate,8.63
ORD-000130,2025-12-06,Toronto,Prairie Express,ON,Standard,Electronics,65.41,2025-12-08,2,True,2025-12-12,2025-12-10,True,0,accurate,7.97
ORD-000131,2025-01-10,Calgary,Maple Freight,MB,Express,Health & Personal Care,48.13,2025-01-12,2,True,2025-01-13,2025-01-12,True,0,accurate,29.28
ORD-000132,2024-12-31,Montreal,Maple Freight,PE,Standard,Home & Kitchen,115.79,2025-01-01,1,True,2025-01-06,2025-01-05,True,0,accurate,17.54
ORD-000133,2024-04-03,Toronto,NorthStar Logistics,ON,Standard,Apparel,53.26,2024-04-04,1,True,2024-04-09,2024-04-07,True,0,accurate,8.63
ORD-000134,2025-07-30,Toronto,BudgetHaul,ON,Standard,Health & Personal Care,71.24,2025-08-02,3,False,2025-08-05,2025-08-03,True,0,accurate,10.15
ORD-000135,2024-02-19,Montreal,Prairie Express,QC,Standard,Apparel,141.06,2024-02-20,1,True,2024-02-25,2024-02-24,True,0,accurate,10.45
ORD-000136,2025-08-01,Montreal,Maple Freight,NS,Standard,Apparel,134.86,2025-08-02,1,True,2025-08-07,2025-08-05,True,0,accurate,18.06
ORD-000137,2024-09-13,Montreal,NorthStar Logistics,QC,Priority,Apparel,82.81,2024-09-14,1,True,2024-09-15,2024-09-13,True,0,accurate,15.85
ORD-000138,2025-11-21,Montreal,NorthStar Logistics,QC,Standard,Health & Personal Care,33.14,2025-11-22,1,True,2025-11-27,2025-11-27,True,0,accurate,9.74
ORD-000139,2025-02-24,Calgary,Prairie Express,SK,Priority,Health & Personal Care,58.8,2025-02-26,2,True,2025-02-26,2025-03-03,False,5,accurate,17.25
ORD-000140,2024-07-28,Toronto,Prairie Express,MB,Standard,Apparel,47.39,2024-07-30,2,True,2024-08-03,2024-08-08,False,5,accurate,12.96
ORD-000141,2024-04-22,Calgary,Prairie Express,MB,Standard,Health & Personal Care,65.14,2024-04-23,1,True,2024-04-28,2024-04-28,True,0,accurate,10.42
ORD-000142,2024-10-31,Toronto,Maple Freight,ON,Standard,Home & Kitchen,40.31,2024-11-02,2,True,2024-11-06,2024-11-06,True,0,accurate,8.47
ORD-000143,2024-12-08,Calgary,BudgetHaul,AB,Standard,Apparel,55.2,2024-12-11,3,False,2024-12-14,2024-12-14,True,0,accurate,9.36
ORD-000144,2025-10-26,Toronto,Maple Freight,ON,Express,Electronics,109.94,2025-10-27,1,True,2025-10-29,2025-10-27,True,0,accurate,23.33
ORD-000145,2024-03-07,Montreal,NorthStar Logistics,QC,Standard,Grocery,79.4,2024-03-08,1,True,2024-03-13,2024-03-11,True,0,accurate,9.4
ORD-000146,2025-12-26,Calgary,Maple Freight,SK,Standard,Home & Kitchen,136.2,2025-12-28,2,True,2026-01-01,2025-12-30,True,0,accurate,11.69
ORD-000147,2024-12-10,Calgary,CanParcel,MB,Standard,Apparel,188.39,2024-12-12,2,True,2024-12-16,2024-12-16,True,0,accurate,13.04
ORD-000148,2025-05-29,Vancouver,NorthStar Logistics,BC,Standard,Home & Kitchen,132.36,2025-05-30,1,True,2025-06-04,2025-06-04,True,0,accurate,9.58
ORD-000149,2024-12-23,Calgary,Prairie Express,AB,Priority,Home & Kitchen,78.11,2024-12-25,2,True,2024-12-25,2024-12-28,False,3,accurate,14.39
ORD-000150,2025-05-20,Montreal,CanParcel,ON,Priority,Health & Personal Care,26.54,2025-05-21,1,True,2025-05-22,2025-05-22,True,0,accurate,16.26
ORD-000151,2025-12-01,Calgary,NorthStar Logistics,MB,Standard,Health & Personal Care,84.45,2025-12-02,1,True,2025-12-07,2025-12-07,True,0,accurate,10.26
ORD-000152,2024-04-09,Calgary,Prairie Express,MB,Express,Grocery,29.45,2024-04-11,2,True,2024-04-12,2024-04-11,True,0,accurate,25.45
ORD-000153,2025-10-27,Calgary,NorthStar Logistics,AB,Express,Home & Kitchen,75.86,2025-10-28,1,True,2025-10-30,2025-10-28,True,0,accurate,18.88
ORD-000154,2024-12-13,Toronto,NorthStar Logistics,ON,Standard,Home & Kitchen,176.88,2024-12-14,1,True,2024-12-19,2024-12-17,True,0,damaged,9.36
ORD-000155,2025-08-08,Toronto,Maple Freight,ON,Priority,Apparel,48.83,2025-08-10,2,True,2025-08-10,2025-08-09,True,0,accurate,17.7
ORD-000156,2024-12-01,Toronto,CanParcel,ON,Standard,Apparel,37.71,2024-12-02,1,True,2024-12-07,2024-12-05,True,0,accurate,9.8
ORD-000157,2024-09-27,Calgary,NorthStar Logistics,AB,Priority,Apparel,197.41,2024-09-28,1,True,2024-09-29,2024-09-29,True,0,accurate,17.78
ORD-000158,2025-05-12,Toronto,Prairie Express,ON,Standard,Home & Kitchen,62.6,2025-05-13,1,True,2025-05-18,2025-05-18,True,0,accurate,10.34
ORD-000159,2024-06-27,Montreal,Prairie Express,ON,Standard,Home & Kitchen,94.02,2024-06-29,2,True,2024-07-03,2024-07-03,True,0,accurate,10.63
ORD-000160,2024-01-03,Vancouver,CanParcel,BC,Priority,Apparel,72.46,2024-01-05,2,True,2024-01-05,2024-01-03,True,0,accurate,14.47
ORD-000161,2024-03-26,Montreal,CanParcel,QC,Express,Apparel,93.25,2024-03-27,1,True,2024-03-29,2024-03-28,True,0,damaged,20.03
ORD-000162,2024-05-09,Montreal,CanParcel,QC,Express,Home & Kitchen,78.33,2024-05-10,1,True,2024-05-12,2024-05-10,True,0,accurate,19.86
ORD-000163,2024-06-04,Calgary,NorthStar Logistics,AB,Standard,Apparel,37.46,2024-06-05,1,True,2024-06-10,2024-06-10,True,0,accurate,7.69
ORD-000164,2024-02-17,Toronto,Maple Freight,ON,Express,Apparel,171.5,2024-02-19,2,True,2024-02-20,2024-02-19,True,0,accurate,21.66
ORD-000165,2025-05-17,Toronto,CanParcel,NS,Express,Health & Personal Care,45.3,2025-05-21,4,False,2025-05-20,2025-05-19,True,0,accurate,40.31
ORD-000166,2024-02-22,Vancouver,CanParcel,AB,Standard,Home & Kitchen,64.14,2024-02-23,1,True,2024-02-28,2024-02-26,True,0,accurate,11.52
ORD-000167,2024-05-09,Toronto,Prairie Express,MB,Express,Electronics,113.53,2024-05-11,2,True,2024-05-12,2024-05-12,True,0,accurate,37.09
ORD-000168,2025-03-01,Montreal,NorthStar Logistics,QC,Express,Apparel,97.57,2025-03-03,2,True,2025-03-04,2025-03-03,True,0,accurate,25.01
ORD-000169,2025-12-10,Vancouver,Prairie Express,BC,Standard,Health & Personal Care,34.8,2025-12-11,1,True,2025-12-16,2025-12-16,True,0,accurate,7.84
ORD-000170,2025-09-01,Toronto,Maple Freight,MB,Standard,Health & Personal Care,63.4,2025-09-02,1,True,2025-09-07,2025-09-06,True,0,accurate,14.98
